source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,3.0,7.7,252.0,WSW
HARM-DK 2 km,3.8,6.0,286.0,WNW
ICON 2.2 km,3.0,0.0,272.0,W
ICON-CH 1 km,4.3,8.3,162.0,SSO
UKV 2 km,2.7,6.2,232.0,SW
