source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,2.2,7.0,2.0,N
HARM-DK 2 km,2.4,5.2,225.0,SW
ICON 2.2 km,2.0,0.0,304.0,NW
ICON-CH 1 km,1.9,3.4,302.0,WNW
UKV 2 km,2.5,4.4,273.0,W
