source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,4.0,10.0,220.0,SW
HARM-DK 2 km,4.1,8.8,310.0,NW
ICON 2.2 km,5.5,0.0,300.0,WNW
ICON-CH 1 km,3.8,7.1,282.0,WNW
UKV 2 km,5.7,11.1,283.0,WNW
