source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,6.8,16.7,224.0,SW
HARM-DK 2 km,5.8,13.8,234.0,SW
ICON 2.2 km,3.4,0.0,200.0,SSW
ICON-CH 1 km,4.7,9.6,213.0,SSW
UKV 2 km,2.6,7.5,242.0,WSW
