source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,2.8,6.4,228.0,SW
HARM-DK 2 km,3.1,7.9,316.0,NW
ICON 2.2 km,2.5,0.0,9.0,N
ICON-CH 1 km,2.1,5.5,76.0,ONO
UKV 2 km,4.3,7.7,305.0,NW
