source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,1.8,3.6,306.0,NW
HARM-DK 2 km,3.7,5.3,312.0,NW
ICON 2.2 km,6.6,0.0,223.0,SW
ICON-CH 1 km,5.8,10.8,195.0,SSW
UKV 2 km,5.4,8.7,220.0,SW
