source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,1.5,6.9,85.0,O
HARM-DK 2 km,2.8,5.3,327.0,NNW
ICON 2.2 km,3.1,0.0,73.0,ONO
ICON-CH 1 km,3.0,5.6,27.0,NNO
UKV 2 km,3.9,7.7,73.0,ONO
