source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,3.4,6.5,208.0,SSW
HARM-DK 2 km,5.3,13.0,218.0,SW
ICON 2.2 km,2.3,0.0,199.0,SSW
ICON-CH 1 km,4.3,9.0,213.0,SSW
UKV 2 km,2.6,7.2,234.0,SW
