source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,5.3,12.4,354.0,N
HARM-DK 2 km,5.0,7.1,352.0,N
ICON 2.2 km,3.9,0.0,342.0,NNW
ICON-CH 1 km,1.3,4.3,9.0,N
UKV 2 km,3.1,5.5,46.0,NO
