source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,9.8,18.9,213.0,SSW
HARM-DK 2 km,7.6,15.4,236.0,SW
ICON 2.2 km,10.3,0.0,220.0,SW
ICON-CH 1 km,9.3,16.8,231.0,SW
UKV 2 km,10.0,20.3,240.0,WSW
