source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,7.5,15.4,210.0,SSW
HARM-DK 2 km,5.1,13.8,291.0,WNW
ICON 2.2 km,6.1,0.0,273.0,W
ICON-CH 1 km,6.7,13.1,234.0,SW
UKV 2 km,8.4,19.1,283.0,WNW
