source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,4.4,9.2,357.0,N
HARM-DK 2 km,1.4,6.8,356.0,N
ICON 2.2 km,3.0,0.0,259.0,W
ICON-CH 1 km,1.2,3.2,250.0,WSW
UKV 2 km,1.7,3.4,158.0,SSO
