source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,7.2,14.2,215.0,SW
HARM-DK 2 km,7.1,16.1,218.0,SW
ICON 2.2 km,9.0,0.0,204.0,SSW
ICON-CH 1 km,9.7,18.5,202.0,SSW
UKV 2 km,2.7,6.2,232.0,SW
