source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,1.5,4.2,203.0,SSW
HARM-DK 2 km,3.8,9.8,185.0,S
ICON 2.2 km,2.6,0.0,192.0,SSW
ICON-CH 1 km,2.2,5.5,195.0,SSW
UKV 2 km,2.6,7.3,216.0,SW
