source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,7.1,27.6,349.0,N
HARM-DK 2 km,4.3,8.4,12.0,NNO
ICON 2.2 km,4.5,0.0,55.0,NO
ICON-CH 1 km,8.0,14.9,25.0,NNO
UKV 2 km,3.0,7.2,58.0,ONO
