source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,8.6,18.9,215.0,SW
HARM-DK 2 km,7.6,15.2,215.0,SW
ICON 2.2 km,6.3,0.0,222.0,SW
ICON-CH 1 km,6.5,11.9,222.0,SW
UKV 2 km,6.1,13.2,253.0,WSW
