source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,2.8,5.7,221.0,SW
HARM-DK 2 km,4.7,12.0,208.0,SSW
ICON 2.2 km,7.5,0.0,200.0,SSW
ICON-CH 1 km,8.5,16.5,208.0,SSW
UKV 2 km,4.6,12.0,228.0,SW
