source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
AROME-FR 1.3 km,4.6,9.4,205.0,SSW
HARM-DK 2 km,5.8,14.3,222.0,SW
ICON 2.2 km,4.2,0.0,211.0,SSW
ICON-CH 1 km,5.8,11.7,215.0,SW
UKV 2 km,3.4,9.9,228.0,SW
